Per,Nat,Pokemon,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Tier,Ability I,Ability II,Hidden Ability,Mass,LK/GK,EV Worth,EXPV,Color,Hatch,Gender,Egg Group I,Egg Group II,Catch,EXP,Evolve,Per.1,Nat.1,Joh,Hoe,Sin,Un,Pokemon.1,generation
1.0,1.0,Bulbasaur,45,49,49,65,65,45,318,Grass,Poison,NU,Overgrow,,Chlorophyll,6.9 kG,20,1 SpA,64,Green,5120,M (87.5%),Monster,Grass,45,1059860,,1.0,1.0,226.0,,,,Bulbasaur,1
2.0,2.0,Ivysaur,60,62,63,80,80,60,405,Grass,Poison,NU,Overgrow,,Chlorophyll,13.0 kG,40,1 SpA/1 SpD,141,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 16,2.0,2.0,227.0,,,,Ivysaur,1
3.0,3.0,Venusaur,80,82,83,100,100,80,525,Grass,Poison,OU,Overgrow,,Chlorophyll,100.0 kG,100,2 SpA/1 SpD,208,Green,,M (87.5%),Monster,Grass,45,1059860,Lv. 32,3.0,3.0,228.0,,,,Venusaur,1
4.0,4.0,Charmander,39,52,43,60,50,65,309,Fire,,NU,Blaze,,Solar Power,8.5 kG,20,1 Spe,65,Red,5120,M (87.5%),Monster,Dragon,45,1059860,,4.0,4.0,229.0,,,,Charmander,1
5.0,5.0,Charmeleon,58,64,58,80,65,80,405,Fire,,NU,Blaze,,Solar Power,19.0 kG,40,1 SpA/1 Spe,142,Red,,M (87.5%),Monster,Dragon,45,1059860,Lv. 16,5.0,5.0,230.0,,,,Charmeleon,1
6.0,6.0,Charizard,78,84,78,109,85,100,534,Fire,Flying,UU,Blaze,,Solar Power,90.5 kG,80,3 SpA,209,Red,,M (87.5%),Monster,Dragon,45,1059860,Lv. 36,6.0,6.0,231.0,,,,Charizard,1
7.0,7.0,Squirtle,44,48,65,60,54,43,314,Water,,NU,Torrent,,Rain Dish,9.0 kG,20,1 Def,66,Blue,5120,M (87.5%),Monster,Water 1,45,1059860,,7.0,7.0,232.0,,,,Squirtle,1
8.0,8.0,Wartortle,59,63,80,65,80,58,405,Water,,NU,Torrent,,Rain Dish,22.5 kG,40,1 Def/1 SpD,143,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 16,8.0,8.0,233.0,,,,Wartortle,1
9.0,9.0,Blastoise,79,83,100,85,105,78,530,Water,,RU,Torrent,,Rain Dish,85.5 kG,80,3 SpD,210,Blue,,M (87.5%),Monster,Water 1,45,1059860,Lv. 36,9.0,9.0,234.0,,,,Blastoise,1
10.0,10.0,Caterpie,45,30,35,20,20,45,195,Bug,,NU,Shield Dust,,Run Away,2.9 kG,20,1 HP,53,Green,3840,Neutral,Bug,,255,1000000,,10.0,10.0,24.0,,,,Caterpie,1
11.0,11.0,Metapod,50,20,55,25,25,30,205,Bug,,NU,Shed Skin,,,9.9 kG,20,1 Def,72,Green,,Neutral,Bug,,120,1000000,Lv. 7,11.0,11.0,25.0,,,,Metapod,1
12.0,12.0,Butterfree,60,45,50,80,80,70,385,Bug,Flying,NU,Compoundeyes,,Tinted Lens,32.0 kG,60,2 SpA/1 SpD,160,White,,Neutral,Bug,,45,1000000,Lv. 10,12.0,12.0,26.0,,,,Butterfree,1
13.0,13.0,Weedle,40,35,30,20,20,50,195,Bug,Poison,NU,Shield Dust,,Run Away,3.2 kG,20,1 Spe,52,Brown,3840,Neutral,Bug,,255,1000000,,13.0,13.0,27.0,,,,Weedle,1
14.0,14.0,Kakuna,45,25,50,25,25,35,205,Bug,Poison,NU,Shed Skin,,,10.0 kG,20,2 Def,71,Yellow,,Neutral,Bug,,120,1000000,Lv. 7,14.0,14.0,28.0,,,,Kakuna,1
15.0,15.0,Beedrill,65,80,40,40,80,75,380,Bug,Poison,NU,Swarm,,Sniper,29.5 kG,60,2 Atk/1 SpD,159,Yellow,,Neutral,Bug,,45,1000000,Lv. 10,15.0,15.0,29.0,,,,Beedrill,1
16.0,16.0,Pidgey,40,45,40,35,35,56,251,Normal,Flying,NU,Keen Eye,Tangled Feet,Big Pecks,1.8 kG,20,1 Spe,55,Brown,3840,Neutral,Flying,,255,1059860,,16.0,16.0,10.0,,,,Pidgey,1
17.0,17.0,Pidgeotto,63,60,55,50,50,71,349,Normal,Flying,NU,Keen Eye,Tangled Feet,Big Pecks,30.0 kG,60,2 Spe,113,Brown,,Neutral,Flying,,120,1059860,Lv. 18,17.0,17.0,11.0,,,,Pidgeotto,1
18.0,18.0,Pidgeot,83,80,75,70,70,91,469,Normal,Flying,NU,Keen Eye,Tangled Feet,Big Pecks,39.5 kG,60,3 Spe,172,Brown,,Neutral,Flying,,45,1059860,Lv. 36,18.0,18.0,12.0,,,,Pidgeot,1
19.0,19.0,Rattata,30,56,35,25,35,72,253,Normal,,NU,Run Away,Guts,Hustle,3.5 kG,20,1 Spe,57,Purple,3840,Neutral,Field,,255,1000000,,19.0,19.0,17.0,,,,Rattata,1
20.0,20.0,Raticate,55,81,60,50,70,97,413,Normal,,NU,Run Away,Guts,Hustle,18.5 kG,40,2 Spe,116,Brown,,Neutral,Field,,127,1000000,Lv. 20,20.0,20.0,18.0,,,,Raticate,1
